jcat,piece,type,inclination,reentry_date,dry_mass
A01745,1970-011A,R4          ,31.04,2003-08-01T00:00:00Z,     15 
A05828,1996-061A,R3          ,38,2002-04-07T03:55:00Z,    202 
A06363,2000-074A,R2          ,65.78,2000-11-21T01:00:00Z,   1434 
A06779,2002-059,C  M        ,62.98,2002-12-24T14:00:00Z,      0 
A06780,2002-059,C  M        ,62.98,2002-12-24T14:00:00Z,      0 
A06781,2002-060,R3          ,64.9,2002-12-25T11:00:00Z,   4185 
A06782,2002-060,C  A        ,64.9,2002-12-25T11:00:00Z,    800 
A07167,2007-001D,C  A        ,97.89,2023-01-16T15:15:00Z,     50 
A07314,2007-052H,C  A        ,65.1,2007-10-26T09:15:00Z,    800 
A07746,2010-026A,R2          ,34.5,2010-06-27T00:00:00Z,   2500 
A07891,2011-065,R3          ,51.43,2012-01-15T17:45:00Z,    735 
A07913,2012-006K,R4          ,69.51,2016-11-02T03:45:00Z,    660 
A08042,2013-053,R4          ,96.66,2015-09-01T04:33:00Z,     50 
A08060,2013-064G,R4          ,40.51,2015-12-25T04:49:00Z,    410 
A08209,2014-025,C  M        ,81.4,2014-09-03T04:33:00Z,   2310 
A08286,2003-U01,R4--O--*    ,91.99,2003-09-16T11:25:00Z,     50 
A08298,2014-073,R4          ,96.56,2016-10-09T16:42:00Z,     50 
A08677,2017-051B,R4          ,19.18,2019-03-02T19:23:00Z,    920 
A09215,2018-088G,R3          ,85.03,2023-11-10T13:45:00Z,     40 
A09256,2019-006B,R4          ,98.7,2023-12-21T18:30:00Z,    920 
A09282,2019-018AF,R4          ,97.52,2024-06-30T07:30:00Z,    920 
A09472,2019-043C,R4          ,42.73,2019-07-26T00:00:00Z,    200 
A09725,2021-023H,R3          ,45,2023-03-14T04:21:00Z,     40 
A09905,2021-108A,R2          ,86.01,2023-05-14T15:20:00Z,    200 
A09931,2021-133A,R3          ,63.39,2022-01-05T21:08:00Z,   2440 
A10400,2022-026A,R2          ,97.49,2024-01-01T22:30:00Z,    200 
A10489,2022-U02,R4     *    ,36.56,2022-08-07T04:43:00Z,    200 
A10894,2022-068D,R2-----     ,35,2023-03-08T03:33:00Z,   4006 
A10895,2022-088B,R2-----     ,35,2023-03-11T18:08:00Z,   4006 
A10896,2022-100B,R2-----     ,35,2023-03-28T18:06:00Z,   4006 
A10897,2022-109E,R2-----     ,35,2023-03-28T07:46:00Z,   4006 
A10898,2022-120C,R2-----     ,34.99,2023-05-13T02:43:00Z,   4006 
A10899,2022-133C,R2-----     ,35,2023-08-16T03:21:00Z,   4006 
A10900,2022-160B,R2-----     ,35,2023-10-24T17:00:00Z,   4006 
A10901,2022-171B,R2          ,34.99,2023-11-06T09:39:00Z,   4006 
A10922,2023-051A,R4          ,97.34,2023-10-29T00:59:00Z,    200 
A10928,2023-057,R3  S       ,13.5,2023-04-22T09:40:00Z,   1100 
A11004,2023-109,R3  S       ,16,2023-07-30T01:52:00Z,   1100 
A11122,2024-001B,R4          ,9.66,2024-03-21T14:04:00Z,    920 
A11271,2024-129W,R2          ,53.11,2024-07-12T10:45:00Z,   3000 
C00103,-,R2          ,9.83,2015-11-13T06:18:00Z,      0 
D00197,1968-014B,R2  D       ,36.31,2011-01-18T00:00:00Z,    600 
D00714,1995-039D,R4  D       ,70.89,2000-11-03T00:00:00Z,    900 
D00779,2001-027C,R3  D       ,28.71,2001-07-08T04:30:00Z,    205 
D00791,2002-048C,R4  D       ,52.15,2010-11-03T00:00:00Z,   3300 
D00850,2006-047E,R3  D       ,28.45,2006-11-06T00:54:00Z,    132 
D00871,2008-051D,C  MD       ,11.03,2008-10-25T06:00:00Z,     24 
D00904,2011-037ND,R3  D       ,51.5,2021-08-09T16:26:00Z,   1000 
D01046,2020-087B,R2  D       ,22.27,2020-11-30T15:41:00Z,   5100 
D01153,2024-051B,R2  D       ,23.02,2024-04-24T07:06:00Z,   2800 
D01157,2024-083C,R2  D       ,23.04,2024-05-16T00:00:00Z,   5100 
S19332,1988-063C,R3 P        ,7.36,2003-04-30T00:00:00Z,   1920 
S19485,1988-081C,R3 P        ,6.88,2008-08-02T00:00:00Z,   1920 
S21141,1991-015C,R3 P        ,7.02,2002-02-10T16:55:00Z,   2080 
S22032,1992-041C,R3 P        ,7.27,2021-03-16T21:45:00Z,   1920 
S40051,1998-067ER,C  A        ,51.64,2014-10-31T00:00:00Z,      9 
S47853,1998-067RZ,CXTA-I-     ,51.64,2024-03-08T19:29:00Z,   1103 
F01696,2024-F03,R4          ,97,2024-07-10T23:50:00Z,    200 
F01707,2024-F05,R4          ,97.5,2024-12-27T01:20:00Z,    500 
D00887,2009-031C,R2  D       ,85.13,2009-10-09T11:31:00Z,   2020 
D00942,2014-065B,R3  D       ,36,2022-03-04T12:25:58Z,   2800 
D01004,2018-045D,R3  D       ,14.5,2018-09-25T10:33:00Z,   1000 
D01129,2023-118B,R4          ,43.71,2024-02-26T18:43:09Z,   1000 
R82529,2023-135,R1          ,0,2023-09-05T00:00:00Z,   1700 
R82530,2023-135,R2          ,0,2023-09-05T00:00:00Z,    800 
R82531,2023-135,R3          ,0,2023-09-05T00:00:00Z,    400 
R82588,2023-F09,R1     *    ,0,2023-09-21T00:00:00Z,   1700 
R82589,2023-F09,R2          ,0,2023-09-21T00:00:00Z,    800 
R82590,2023-F09,R3          ,0,2023-09-21T00:00:00Z,    400 
R82819,2023-189,R1          ,0,2023-12-04T00:00:00Z,   1700 
R82820,2023-189,R2          ,0,2023-12-04T00:00:00Z,    800 
R82821,2023-189,R3          ,0,2023-12-04T00:00:00Z,    400 
R83338,2024-102,R1          ,0,2024-05-29T00:00:00Z,   1700 
R83339,2024-102,R2          ,0,2024-05-29T00:00:00Z,    800 
R83340,2024-102,R3          ,0,2024-05-29T00:00:00Z,    400 
R83354,2024-105,R1          ,0,2024-05-30T00:00:00Z,   1700 
R83355,2024-105,R2          ,0,2024-05-30T00:00:00Z,    800 
R83356,2024-105,R3          ,0,2024-05-30T00:00:00Z,    400 
R83377,2024-110,R1          ,0,2024-06-06T00:00:00Z,   1700 
R83378,2024-110,R2          ,0,2024-06-06T00:00:00Z,    800 
R83379,2024-110,R3          ,0,2024-06-06T00:00:00Z,    400 
R83570,2024-153,R1          ,0,2024-08-29T00:00:00Z,   1700 
R83571,2024-153,R2          ,0,2024-08-29T00:00:00Z,    800 
R83572,2024-153,R3          ,0,2024-08-29T00:00:00Z,    400 
R83829,2024-U06,R1          ,140,2024-11-19T22:06:00Z, 220000 
R83967,2024-245,R1          ,0,2024-12-19T00:00:00Z,   1700 
R83968,2024-245,R2          ,0,2024-12-19T00:00:00Z,    800 
R83969,2024-245,R3          ,0,2024-12-19T00:00:00Z,    400 
S00165,1961 RHO 2,R3          ,47.9,2014-02-18T22:00:00Z,     24 
S00229,1962 BET 4,R3          ,48.27,2002-08-10T02:20:00Z,     24 
S00603,1963-022B,R4          ,90.02,2000-05-17T00:00:00Z,     24 
S00898,1964-049E,R4          ,64.99,2004-05-07T00:00:00Z,    900 
S01808,1965-098D,C  A        ,79.88,2002-09-23T00:00:00Z,     10 
S01822,1965-082DM,R3-----*    ,32.16,2003-12-02T00:00:00Z,   1950 
S01944,1965-098E,C  A        ,79.83,2001-11-07T00:00:00Z,     10 
S01996,1965-096D,C  A        ,34.25,2004-11-28T00:00:00Z,      0 
S02129,1966-026B,R2          ,98.59,2002-05-10T21:00:00Z,     24 
S02167,1966-034B,R4          ,82.45,2000-11-13T00:00:00Z,     47 
S03019,1967-104B,R2          ,64.08,2002-12-27T00:00:00Z,   3700 
S04053,1969-064C,R3-----*    ,30.35,2016-10-21T00:53:00Z,     65 
S04392,1970-034B,R3          ,68.44,2000-12-29T00:00:00Z,    250 
